,Compound,Negative,Neutral,Positive,Tweet,Date
23,1900,0.154,0.846,0.0,El Salvador Locals Protest Upcoming BTC Adoption Plan With Days To Go,2021-08-30
24,2850,0.0,0.897,0.103,Exclusive: Data wizard tells us what to expect this weekend for BitcoinBitcoin BTC Crypto,2021-08-28
25,2550,0.0,1.0,0.0,Bitcoin Cryptocurrency News BitcoinNews BTCUSD Former US President Donald Trump Has Just Revealed Latest Stanc… ,2021-08-31
26,2550,0.0,1.0,0.0,analysis Bitcoin Opinion btc BTCUSD Bitcoin (BTC) Price Prediction: BTC/USD Hovers above $47K as Sellers Threa… ,2021-08-31
27,1900,0.118,0.882,0.0,Bitcoin Markets News BitcoinNews BTCUSD Bitcoin Price Torn Between Breaking These Levels Even As Exchange Infl… ,2021-08-31
28,3100,0.0,0.84,0.16,_goat_: Bank of America will allow Bitcoin futures trading $BTC Cryptocurrency  ,2021-07-16
29,2550,0.0,1.0,0.0,About half way up Bitcoin JustGettingStarted $BTC ,2021-03-01
30,2550,0.0,1.0,0.0,Coinbase's S-1 public filing is now public setting stage for a direct listing on Nasdaq Bitcoin $BTC… ,2021-02-25
31,2550,0.0,1.0,0.0,Bitcoin 5️⃣0️⃣0️⃣0️⃣0️⃣ $BTC ,2021-02-16
32,2550,0.0,1.0,0.0,$ETH (current) vs $BTC (last cycle) ,2021-02-05
33,2550,0.0,1.0,0.0,📣  Power of Bitcoin (BTC) as a Savings Tool🔗: ⃣: Bitcoin✍️: Steven Anderson -… ,2021-08-31
34,2550,0.0,1.0,0.0,📣  Overview of Bitcoin (BTC) Price History For 2021 Beginners🔗: ⃣: Bitcoin✍️: dan sa… ,2021-08-30
35,2550,0.0,1.0,0.0,📣  Chivo Wallet in El Salvador to Simplify Bitcoin (BTC) for All🔗: ⃣: Bitcoin✍️: Jam… ,2021-08-30
36,2550,0.0,1.0,0.0,📣  People will come in Waves to Buy BTC at 100k 500k and 1MM🔗: ⃣: Bitcoin✍️: James… ,2021-08-30
37,3450,0.0,0.839,0.161,📣  Importance of Bitcoin (BTC) Price Discovery and Basing Decisions on Next 5 to 10 years🔗:… ,2021-08-30
